model,2nd_model,type,feature,importance,std,column
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.301, +/- 0.385,next_day
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,844.443, +/- 14.408,preds
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,month
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,day_of_year
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,week_of_year
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,next_day
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,year
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,prev_week
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,next_week
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,day_of_week
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,day
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,next_hour
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,hour
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,-0.000, +/- 0.000,prev_day
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,-0.000, +/- 0.000,prev_hour
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,-0.002, +/- 0.000,ts
RandomForestRegressor,,plain,,825.353, +/- 11.337,ts
RandomForestRegressor,,plain,,7.352, +/- 0.298,next_hour
RandomForestRegressor,,plain,,1.889, +/- 0.105,prev_hour
RandomForestRegressor,,plain,,1.087, +/- 0.147,day_of_year
RandomForestRegressor,,plain,,1.030, +/- 0.091,hour
RandomForestRegressor,,plain,,1.013, +/- 0.057,year
RandomForestRegressor,,plain,,0.547, +/- 0.322,prev_week
RandomForestRegressor,,plain,,0.379, +/- 0.139,next_week
RandomForestRegressor,,plain,,-0.065, +/- 0.074,week_of_year
RandomForestRegressor,,plain,,-0.105, +/- 0.032,month
RandomForestRegressor,,plain,,-0.141, +/- 0.062,day_of_week
RandomForestRegressor,,plain,,-0.282, +/- 0.076,next_day
RandomForestRegressor,,plain,,-0.376, +/- 0.074,day
RandomForestRegressor,,plain,,-0.397, +/- 0.053,prev_day
RandomForestRegressor,DecisionTreeRegressor,voting,,826.921, +/- 10.341,ts
RandomForestRegressor,DecisionTreeRegressor,voting,,9.386, +/- 0.226,next_hour
RandomForestRegressor,DecisionTreeRegressor,voting,,3.071, +/- 0.527,prev_week
RandomForestRegressor,DecisionTreeRegressor,voting,,3.028, +/- 0.395,hour
RandomForestRegressor,DecisionTreeRegressor,voting,,2.616, +/- 0.495,day_of_year
RandomForestRegressor,DecisionTreeRegressor,voting,,2.503, +/- 0.187,prev_hour
RandomForestRegressor,DecisionTreeRegressor,voting,,2.502, +/- 0.306,week_of_year
RandomForestRegressor,DecisionTreeRegressor,voting,,2.405, +/- 0.161,year
RandomForestRegressor,DecisionTreeRegressor,voting,,1.588, +/- 0.356,next_week
RandomForestRegressor,DecisionTreeRegressor,voting,,1.374, +/- 0.316,day_of_week
RandomForestRegressor,DecisionTreeRegressor,voting,,0.116, +/- 0.116,day
